chanel_name,yt_url,subscribers,check_date,released_date,is_posted_in_date_range,shorts_name,description,likes,views,short_url
왈도쿤,https://www.youtube.com/channel/UC-S8JFhLkQ5enhB70c2CYIw,352K,16-05-2024,Apr 29 2024,No,TRPG 천사가 문을 여는 방법ㅋㅋㅋㅋ,"#TRPG #shorts #영상툰

편집 : 왈도쿤
그림 : 리리네","693
","14,311
",https://www.youtube.com/shorts/6n0KMEGQqlc
대한민국 '섬' Korea Island,https://www.youtube.com/channel/UCkWJBYc2KuB8JMmsb379K9A,177K,16-05-2024,Mar 27 2024,No,신안 피아노섬축제,"[대한민국 '섬' Korea Island]
(년 제작)","25
","803
",https://www.youtube.com/shorts/2cXE92UNR4o
ASMR Suna,https://www.youtube.com/channel/UChYcJLnVxqgO3SkM6vKX9aw,1.86M,16-05-2024,Nov 11 2023,No,전교 1등만드는 최면 암기법 ASMR,전교 1등만드는 최면 암기법 ASMR  롤플레이입니다 !원본영상은,"1.3K
","28,883
",https://www.youtube.com/shorts/Wnr6mFff-gk
부산사랑-ぷさんさらん-,https://www.youtube.com/channel/UCDK7BC_28N4Cuhwh0EzEmjg,68.4K,16-05-2024,Jul 06 2023,No,＜釜山グルメ＞地元民おすすめ！二日酔いにテッパンのシジミ汁,"わぼいそ釜山ショート動画です。コメントくださいね。

釜山中央洞は老舗の良いお店が集まる場所🙌🙌

ビジネスマンの働く活力を作ります。🍖🤤🍖

釜山地下鉄1号線中央駅14番出口より徒歩5分✨

📍アクセス
★お店情報（식당 정보）★
店名：섬진강재첩국（ソムジンガンジェチョプグク）
住所：부산 중구 충장대로5번길 18-1 1층
電話：051-466-2321","173
","5,558
",https://www.youtube.com/shorts/4W7G_-cVQ-w
오천만장자 KM,https://www.youtube.com/channel/UCLQiChqRzLnMVyQGQrvvtVw,72.2K,16-05-2024,Apr 27 2024,No,미나 #전화받어 #챌린지,,"653
","36,754
",https://www.youtube.com/shorts/ZO9IkMIOXB0
MOO MIX 무믹스,https://www.youtube.com/channel/UCibcWeKAi9Xvj57W7TQMXbw,51.3K,16-05-2024,Apr 29 2024,No,서인영 놀리는 이효리,,"14K
","1,103,219
",https://www.youtube.com/shorts/dnhT6DCqmSQ
Griffin Frenchie,https://www.youtube.com/channel/UC43CkWhXhi20AvyrWG2nU_g,712K,16-05-2024,Feb 20 2024,No,NEVER DO THIS!,,"14K
","168,097
",https://www.youtube.com/shorts/iDHEZtZ7odw
로빈,https://www.youtube.com/channel/UCo33r3SAf5z9MS-lrXV2aOQ,400K,16-05-2024,Feb 08 2024,No,사랑은 닫힌 문,"이것들 녹화전에 텐션 다 쓰네 

편집자 : 나
그림: 조와라

멤버십에 가입하면 여러가지 혜택이!?: https://www.youtube.com/channel/UCo33r3SAf5z9MS-lrXV2aOQ/join","1K
","39,531
",https://www.youtube.com/shorts/zNHtHrQqQKc
켜농,https://www.youtube.com/channel/UCfTJQQjCFU7GU0ll8TJ50tg,219K,16-05-2024,Dec 23 2023,No,만났던 사람중에 기억나는 사람,,"115
","12,194
",https://www.youtube.com/shorts/3Nrn4CF9Vwg
김호중 공식채널 Kim Hojoong,https://www.youtube.com/channel/UC73yn5mmJSr3hh9jKe2AdWw,301K,16-05-2024,Oct 14 2023,No,[바람 따라 만나리 : 김호중의 계절] '영화 속 별님 미리보기 4탄!' 공개!👏,"""내가 건강한 목소리로 음악을 하는 게 가장 큰 선물이겠구나...라는 생각을 했습니다"" 

 

김호중과 함께하는 특별한 여행!

 

10월 18일, CGV 2D & 스크린X 단독 개봉💜

 ","12K
","70,873
",https://www.youtube.com/shorts/AiQlZKu1_Go
CooCook,https://www.youtube.com/channel/UC1nPMK6iENth45qq-tgZVgA,799,16-05-2024,Jun 07 2023,No,[다람 x 소우리] 최고의 소고기와 김치의 만남,"[다람 x 소우리] 특별한 날에 즐겼던 옥상바베큐

🥩 화창한 어느 날 오후. 다람 옥상에서 있었던 즐거운 바베큐. 좋은 분들끼리 오손도손 모이는 자리에 함께 했던 시간이였습니다.

🥩 지인들과의 오붓한 자리이기 때문에 소고기에 대해서 궁금하신 분들은 소우리 정육식당에서 구입하시면 됩니다.

🥩 소우리정육점식당 | 한우 1++ No.9 전문 소우리 정육점 식당
0507-1361-3342
서울 송파구 오금로46길 20 102호 / 5호선 개롱역 3번출구에서 379m","5
","581
",https://www.youtube.com/shorts/HE2r0P1yfsk
내편TV,https://www.youtube.com/channel/UC-Sdx21yXl7gV2LswqN3R7Q,600K,16-05-2024,Nov 13 2023,No,57가지 노인혜택 #지원금 #노인혜택,57가지 노인혜택 #지원금 #노인혜택,"256
","8,572
",https://www.youtube.com/shorts/oS-WG_V_Cfo
장용진TV,https://www.youtube.com/channel/UCTYfJ6IIFID0KOK9B2kHtiw,265K,16-05-2024,Feb 23 2024,No,[가상] 윤석열 양심고백 영상,,"13K
","157,756
",https://www.youtube.com/shorts/PskjQSNtTm0
squid couple,https://www.youtube.com/channel/UCEDR6NjX2VL5S3DJ1ENRIYw,195K,16-05-2024,May 09 2024,No,계란치기 대반전 #shorts,"비즈니스 메일 
qkrrkdrbs@hanmail.net

두욤 인스타 
https://www.instagram.com/dooyom1

구욤 인스타 ","115
","10,930
",https://www.youtube.com/shorts/bZ0LWjfwdF8
매일제히,https://www.youtube.com/channel/UCWWnWFPkfXMIjxNhBu5qVtg,323K,16-05-2024,Nov 18 2023,No,#슬릭백챌린지 팬티백....,,"1.3K
","62,034
",https://www.youtube.com/shorts/OR3WeVH7bPE
Jella젤라,https://www.youtube.com/channel/UCbwy5KgaKa-W6Ladj3iN4mw,826K,16-05-2024,Apr 05 2024,No,립스틱 하나로 색조 2분 뚝딱💄 #uwow #peripera #뷰티#makeup #lipstick #makeuphacks#makeuplover #reels,,"228
","5,681
",https://www.youtube.com/shorts/0rLSDImiwHE
Sucking Sunday,https://www.youtube.com/channel/UC9hS-dPCGXXD2XlxH5jo9FA,1.17M,16-05-2024,Apr 27 2024,No,전화통화 끼어들기 몰래카메라 ㅋㅋ,레전드 ㅋㅋ,"150
","13,849
",https://www.youtube.com/shorts/NUYutH2-oPU
과학쿠키 [Science Cookie],https://www.youtube.com/channel/UCmgRYMK5d65PbjN8qkjAUBA,443K,16-05-2024,Nov 20 2023,No,거짓말쟁이 ChatGPT를 이길 대항마는? #ibm #과학쿠키 #watsonx,"과학쿠키는 여러분의 후원을 통해 성장합니다.
과학쿠키를 후원해주시는 가장 좋은 방법, 멤버쉽 구독! ▼
https://www.youtube.com/channel/UCmgRYMK5d65PbjN8qkjAUBA/join
구글, 카카오로 후원하기!▶https://toon.at/donate/sciencecookies_ 
=============================================

Shooting Info

- SONY A7C, A6600 with SONY LENS
- SONY FDR-X3000 Action CAM
- IPhone12 PRO

Edit Software Info

- Adobe Premiere Pro CC
- Adobe Aftereffect CC","73
","5,492
",https://www.youtube.com/shorts/IGfd8Y0xN2E
우왁굳의 반찬가게,https://www.youtube.com/channel/UCZOcwheypMvYN_J2oRBgt2A,245K,16-05-2024,Mar 19 2024,No,드릴 말씀이 있습니다.,"*우왁굳 공식 클립퍼 채널입니다.

클립퍼 - 

[클립퍼 코멘트]

돚거로도 부족해? : https://cafe.naver.com/steamindiegame","15K
","451,086
",https://www.youtube.com/shorts/oRI4W1iTnww
쇼츠헤븐,https://www.youtube.com/channel/UC0FVzeobcJWRF3CbI_09INQ,50.1K,16-05-2024,Apr 26 2024,No,회장 죽이고 호텔지분 먹어버리는 재벌아들 - 카지노,,"49
","14,549
",https://www.youtube.com/shorts/TsFyTHlbaVY
youngkang,https://www.youtube.com/channel/UCj1KflywXgVrOzQbuEyij3Q,199K,16-05-2024,Oct 07 2023,No,영강) 갑오징어 쭈꾸미시즌으로 붐비는 격포항 #격포항 #갑오징어 #쭈꾸미 #형제섬,,"15
","1,071
",https://www.youtube.com/shorts/DC1U7dwdpnI
한겨레 영상뉴스,https://www.youtube.com/channel/UCw7ZbT9Js4Vru6HSEk1NHyw,32.4K,16-05-2024,Apr 28 2024,No,"박정희가 만들어, 노무현도 머문 '유성호텔 313호'#shorts",,"4
","458
",https://www.youtube.com/shorts/4ljVXH-eud8
맨날 수리야,https://www.youtube.com/channel/UCpbdIBjqbt0XnCkXXZrkALA,205K,16-05-2024,Sep 02 2023,No,과거가 궁금한 한국아줌마의 농구실력ㄷㄷ..,"과거가 궁금한 한국아줌마의 농구실력ㄷㄷ..
#농구 #한국농구","72
","5,662
",https://www.youtube.com/shorts/1dZAmJ1fULA
다영 DAYEONG,https://www.youtube.com/channel/UCzUV_ldqQyp17-scwBANlsg,570K,16-05-2024,Apr 25 2024,No,똥손도 5분컷 할수있는 인생 속눈썹 추천━☆ﾟ.*・,,"791
","31,995
",https://www.youtube.com/shorts/iF71SpRh2eM
BUCKET STUDIO,https://www.youtube.com/channel/UCRG64darCZhbsnsZCEiY2kQ,108K,16-05-2024,Apr 19 2024,No,어린이날 영화로 딱이잖아! 황새가 키운 최강의 꼬마참새가 돌아왔다구! 극장으로 달려가자🏃🏃 #꼬마참새리차드,#shorts #쇼츠 #애니메이션 #애니영화 #극장판애니 #시리즈애니 #동물애니 #참새애니 #귀여운애니 #어린이날 #아이와함께,"N/A
","146
",https://www.youtube.com/shorts/7t2niFGjPFU
사이유,https://www.youtube.com/channel/UCVNtkwEVJ5LdPeFsMONP4Sw,64.8K,16-05-2024,May 09 2024,No,"다가오는 여름, 다이어트 식단 공유","사이유 첫 에세이 출간📚
❛누구보다 행복하고 싶은 너에게❜

누구보다 행복해질 우리 따랑이들에게,,

﹅교보문고 https://bit.ly/4amk9sC
﹅예스24 https://bit.ly/47PefOU","46
","5,865
",https://www.youtube.com/shorts/HHPxewH9YJI
Kia Worldwide,https://www.youtube.com/channel/UCptyYDiGZ9hs1pH0AaoBTxA,245K,16-05-2024,Mar 27 2024,No,The Kia EV9 2024 World Car of the Year and 2024 World Electric Vehicle,"The EV9 is unstoppable!

Kia's newest full-electric vehicle has secured two major wins at The World Car Awards - 2024 World Car of the Year and 2024 World Electric Vehicle. 

Let's celebrate this milestone together! 

@WorldCarTV

Product specifications and availability may vary depending on region and/or country.","109
","2,550
",https://www.youtube.com/shorts/METg3Twl3rs
백설양,https://www.youtube.com/channel/UCQPPzb7y4aJz6VV1F3v066g,89.4K,16-05-2024,Nov 10 2023,No,펜타킬 매드무비 #백설양#shorts #롤,"인스타 https://www.instagram.com/uoujjj
멤버쉽가입 https://www.youtube.com/channel/UCQPPzb7y4aJz6VV1F3v066g/join
후원 투네이션 https://toon.at/donate/hj0514
-----------------------------------------------------------------------------------------------------------------------------------

생방송 ","27
","3,603
",https://www.youtube.com/shorts/CGPLYZy6GlY
현솔,https://www.youtube.com/channel/UCEWkdaR_6g6giiy8_vI6fmw,145K,16-05-2024,Apr 24 2024,No,【롤】랜턴에 와드박혀서 못탈때 고인물 꿀팁#현솔 #shorts,"인스타 : https://www.instagram.com/hsol_1995/
비지니스 문의 : wnsldj0610@gmail.com
현솔에게 선물보내기 - https://fancim.me/celeb/profile.aspx?cu_id=wnsldj0610

현솔채널 멤버십 가입하기 ! 
https://www.youtube.com/channel/UCEWkdaR_6g6giiy8_vI6fmw/join","149
","15,193
",https://www.youtube.com/shorts/n4cA6hy2Bvs
반전남,https://www.youtube.com/channel/UCmTcAxsJnj8dB_obPtFVoxw,94.6K,16-05-2024,Apr 19 2024,No,그 아버지에 그 아들!! 역시 쏘니네요ㄷㄷ,"한국 이슈에 대한 해외 외신 및 반응 재미있게 전해드리는 반전남입니다.

'좋아요' 와 '구독',  '댓글'은 아이 기저귀를 사는데 큰 보탬이 됩니다!
알림 설정은 영상을 바로바로 보실 수 있습니다!

늘 감사드립니다.","133
","7,789
",https://www.youtube.com/shorts/hABf1FH_Oco
Twesawon,https://www.youtube.com/channel/UCCG61N1yEO8IJhgrfmCcZKg,65K,16-05-2024,Mar 27 2024,No,다른 세계에 들어가본 느낌,,"202
","19,013
",https://www.youtube.com/shorts/gK52byDKmlA
JINJU TV,https://www.youtube.com/channel/UCzDZs_O7WW_iZeM-vNwK59Q,10.6K,16-05-2024,Nov 10 2023,No,2023년 11월 10일,,"0
","66
",https://www.youtube.com/shorts/_fsToFQTXLw
Shoii,https://www.youtube.com/channel/UC5nvJdSAQoJJf10uYylkxZQ,260K,16-05-2024,Apr 26 2024,No,Rengoku playing Minecraft parkour map,,"31
","1,154
",https://www.youtube.com/shorts/RzN2I_xcg-Y
EVERGLOW,https://www.youtube.com/channel/UCVXzBnzP5i5W-3snrxu8kfg,1.94M,16-05-2024,May 07 2024,No,🐺🖤 #EVERGLOW #에버글로우 #시현 #SIHYEON #ALL_MY_GIRLS_IN_JAPAN #Shorts,,"1.3K
","4,651
",https://www.youtube.com/shorts/AmqFRiNpDX4
TJ KARAOKE TJ 노래방 공식 유튜브채널,https://www.youtube.com/channel/UCZUhx8ClCv6paFW7qi3qljg,1.63M,16-05-2024,May 01 2024,No,[노래방레전드] 김목수님의 가시(버즈) COVER / TJ노래방 #shorts,"🎤원곡 정보🎤
 🧡곡 번호 : 14684
 🧡제목 : 가시
 🧡가수명 : 버즈

🎶전체 영상이 궁금하다면 ▶ 영상링크 클릭!

#버블#스테이씨#TJ노래방#유튜브TJ노래방#유튜브노래방","93
","5,026
",https://www.youtube.com/shorts/Bl-X2uiZVbE
안깨남,https://www.youtube.com/channel/UCSkpiPo167whNN5sN3swaeQ,196K,16-05-2024,Apr 22 2024,No,소화기 판매왕의 영업비밀,잡았다 소방관 사칭 #안깨남 #소방 #홍보맨,"763
","26,226
",https://www.youtube.com/shorts/7OKpdvPESFQ
